organisationunitname, July 2021, August 2021, September 2021, October 2021, November 2021, December 2021, January 2022, February 2022, March 2022, April 2022, May 2022, June 2022
Siaya County," 2,142 "," 1,752 "," 1,008 "," 1,409 "," 1,077 "," 1,198 "," 1,225 ", 884 ," 1,054 ", 734 ," 1,019 "," 1,147 "
Taita Taveta County, 910 , 748 , 769 ," 1,554 "," 1,237 "," 1,188 "," 1,305 "," 1,287 ", 987 ," 1,083 "," 1,009 ", 876 
Tana River County, 781 , 462 , 583 , 367 , 872 , 289 , 569 ," 1,420 ", 718 , 887 , 352 , 543 
Tharaka Nithi County," 1,490 "," 2,871 "," 2,331 "," 1,552 "," 1,594 "," 1,464 "," 1,367 "," 1,252 "," 1,447 "," 2,082 "," 2,542 "," 2,216 "
Trans Nzoia County," 2,064 "," 2,213 "," 2,206 "," 1,963 "," 2,188 "," 2,116 "," 2,249 "," 2,095 "," 2,675 "," 2,263 "," 1,999 "," 2,383 "
Turkana County," 1,931 ", 594 , 552 , 490 , 789 , 641 ," 3,653 ", 611 , 474 , 515 , 420 , 572 
Uasin Gishu County," 3,681 "," 3,858 "," 3,890 "," 6,211 "," 4,105 "," 3,529 "," 4,483 "," 4,006 "," 3,709 "," 3,013 "," 3,265 "," 3,921 "
Vihiga County," 2,080 "," 1,429 "," 1,183 "," 1,343 "," 1,556 "," 1,151 "," 1,468 "," 1,348 "," 1,403 "," 1,235 "," 1,794 "," 1,250 "
Wajir County, 388 , 755 , 767 , 772 , 806 , 891 ," 1,025 ", 647 ," 1,122 "," 1,192 ", 979 , 792 
West Pokot County, 499 , 833 , 794 , 489 , 406 ," 1,081 "," 1,092 ", 609 , 633 , 566 , 675 , 740 
