date,steps
1/29/2023,5809
1/30/2023,3764
1/31/2023,9086
2/1/2023,4626
2/2/2023,16451
2/3/2023,11813
2/4/2023,3953
2/5/2023,14302
2/6/2023,16114
2/7/2023,9781
2/8/2023,17561
2/9/2023,12049
2/10/2023,9460
2/11/2023,1231
2/12/2023,2600
2/13/2023,12861
2/14/2023,12302
2/15/2023,9709
2/16/2023,3396
2/17/2023,5204
2/18/2023,914
2/19/2023,7857
2/20/2023,14478
2/21/2023,11232
2/22/2023,11131
2/23/2023,17202
2/24/2023,8797
2/25/2023,392
2/26/2023,8914
2/27/2023,9275
2/28/2023,2294
3/1/2023,11229
3/2/2023,9658
3/3/2023,2150
3/4/2023,7591
3/5/2023,14846
3/6/2023,5702
3/7/2023,4103
3/8/2023,2363
3/9/2023,2729
3/10/2023,1756
3/11/2023,11308
3/12/2023,10245
3/13/2023,9349
3/14/2023,9949
3/15/2023,7868
3/16/2023,5084
3/17/2023,19288
3/18/2023,9293
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
2022-03-12,13290
2022-03-13,9657
2022-03-14,13461
2022-03-15,3898
2022-03-16,12554
2022-03-17,16726
2022-03-18,7837
2022-03-19,4760
2022-03-20,11079
2022-03-21,11014
2022-03-22,12100
2022-03-23,16384
2022-03-24,7035
2022-03-25,5352
2022-03-26,13794
2022-03-27,9532
2022-03-28,8264
2022-03-29,6809
2022-03-30,4756
2022-03-31,8208
2022-04-01,9546
2022-04-02,8485
2022-04-03,6117
2022-04-04,10936
2022-04-05,7954
2022-04-06,6134
2022-04-07,7622
2022-04-08,7911
2022-04-09,7884
2022-04-10,8810
2022-04-11,6369
2022-04-12,8315
2022-04-13,6189
2022-04-14,3233
2022-04-15,8560
2022-04-16,13712
2022-04-17,10897
2022-04-18,9281
2022-04-19,13154
2022-04-20,7796
2022-04-21,9856
2022-04-22,12225
2022-04-23,10044
2022-04-24,12618
2022-04-25,8823
2022-04-26,20965
2022-04-27,13737
2022-04-28,16402
2022-04-29,13168
2022-04-30,8547
2022-05-01,21094
2022-05-02,6448
2022-05-03,12420
2022-05-04,8074
2022-05-05,7151
2022-05-06,6837
2022-05-07,5885
2022-05-08,15678
2022-05-09,10800
2022-05-10,8257
2022-05-11,7394
2022-05-12,12219
2022-05-13,11403
2022-05-14,11719
2022-05-15,6228
2022-05-16,16285
2022-05-17,10282
2022-05-18,15309
2022-05-19,14370
2022-05-20,13428
2022-05-21,6517
2022-05-22,8969
2022-05-23,9067
2022-05-24,12240
2022-05-25,13206
2022-05-26,11843
2022-05-27,8026
2022-05-28,13767
2022-05-29,8963
2022-05-30,3397
2022-05-31,11305
2022-06-01,20786
2022-06-02,21729
2022-06-03,43211
2022-06-04,9782
2022-06-05,2093
2022-06-06,9500
2022-06-07,21089
2022-06-08,6607
2022-06-09,6599
2022-06-10,8787
2022-06-11,7771
2022-06-12,10642
2022-06-13,1163
2022-06-14,8887
2022-06-15,1561
2022-06-16,2728
2022-06-17,9673
2022-06-18,9643
2022-06-19,15252
2022-06-20,10774
2022-06-21,640
2022-06-22,12248
2022-06-23,7163
2022-06-24,4053
2022-06-25,11693
2022-06-26,2110
2022-06-27,3554
2022-06-28,822
2022-06-29,2119
2022-06-30,18559
2022-07-01,4826
2022-07-02,9015
2022-07-03,1047
2022-07-04,820
2022-07-05,3003
2022-07-06,3346
2022-07-07,421
2022-07-08,2876
2022-07-09,2507
2022-07-10,1061
2022-07-11,12684
2022-07-12,279
2022-07-13,2778
2022-07-14,3953
2022-07-15,6639
2022-07-16,140
2022-07-17,6108
2022-07-18,904
2022-07-19,2257
2022-07-20,150
2022-07-21,8244
2022-07-22,204
2022-07-23,2612
2022-07-24,6001
2022-07-25,4754
2022-07-26,5069
2022-07-27,4298
2022-07-28,5788
2022-07-29,9428
2022-07-30,2160
2022-07-31,5729
2022-08-01,6966
2022-08-02,6460
2022-08-03,5820
2022-08-04,4930
2022-08-05,10369
2022-08-06,7670
2022-08-07,7151
2022-08-08,8293
2022-08-09,3899
2022-08-10,3511
2022-08-11,7545
2022-08-12,8290
2022-08-13,6032
2022-08-14,2632
2022-08-15,11565
