organisationunitname, July 2021, August 2021, September 2021, October 2021, November 2021, December 2021, January 2022, February 2022, March 2022, April 2022, May 2022, June 2022
Baringo County, 135 , 101 , 110 , 96 , 37 , 30 , 40 , 80 , 58 , 60 , 110 , 92 
Bomet County, 317 , 584 , 875 , 573 , 518 , 389 , 686 , 576 , 684 , 517 , 531 , 950 
Bungoma County," 2,060 "," 2,031 "," 1,830 "," 2,281 "," 2,156 "," 1,591 "," 1,648 "," 2,500 "," 2,141 ", 986 ," 1,220 "," 2,646 "
Busia County," 1,048 ", 480 , 585 , 292 , 279 , 189 , 402 , 405 , 320 , 218 , 898 ," 1,107 "
Elgeyo Marakwet County, 399 ," 1,422 ", 537 , 337 , 438 , 313 , 368 , 418 , 576 , 275 , 288 , 314 
Embu County, 26 , 378 , 241 , 122 , 264 , 177 , 315 , 352 , 440 , 480 , 493 , 328 
Garissa County, 14 , 156 , 4 , 20 ,, 7 , 10 , 28 , 19 , 27 , 28 , 37 
Homa Bay County, 922 , 686 , 631 , 586 , 663 , 750 , 737 , 819 ," 1,095 "," 1,280 ", 956 ," 1,397 "
Isiolo County, 34 , 33 , 54 , 28 , 73 , 38 , 58 , 64 , 35 , 14 , 22 , 36 
Kajiado County, 251 , 230 , 77 , 191 , 282 , 39 , 90 , 114 , 86 , 96 , 76 , 95 
Kakamega County," 1,733 "," 2,161 "," 2,189 "," 1,536 "," 1,701 "," 1,589 "," 1,544 "," 1,732 "," 2,176 "," 1,616 "," 1,498 "," 1,541 "
Kericho County, 243 , 299 , 223 , 378 , 161 , 57 , 55 , 123 , 287 , 199 , 245 , 224 
Kiambu County," 1,254 "," 1,363 "," 1,272 "," 1,383 "," 1,410 "," 1,050 "," 1,222 "," 1,281 "," 1,288 "," 1,134 "," 1,157 ", 966 
Kilifi County," 2,925 "," 1,263 "," 1,438 "," 1,189 "," 1,083 ", 982 , 803 ," 1,135 "," 1,351 "," 1,096 "," 1,431 "," 1,319 "
Kirinyaga County, 427 , 528 , 634 , 574 , 444 , 215 , 316 , 202 , 537 , 373 , 366 , 469 
Kisii County, 707 , 661 , 252 , 385 , 696 , 442 , 340 , 490 , 322 , 472 , 350 , 295 
Kisumu County, 785 , 355 , 364 , 324 , 159 , 186 , 127 , 245 , 476 , 306 , 504 , 404 
Kitui County," 1,000 "," 1,013 ", 644 , 406 , 421 , 355 , 389 , 321 , 874 , 831 , 832 , 769 
Kwale County, 188 , 117 , 111 , 83 , 136 , 124 , 163 , 81 , 154 , 243 , 239 , 385 
Laikipia County, 164 , 327 , 155 , 296 , 303 , 258 , 226 , 362 , 265 , 278 , 243 , 98 
Lamu County, 22 , 28 , 45 , 10 , 129 , 18 , 34 , 61 , 106 , 86 , 141 , 107 
Machakos County, 260 , 284 , 161 , 174 , 187 , 82 , 75 , 138 , 157 , 93 , 48 , 46 
Makueni County, 387 , 304 , 112 , 80 , 84 , 44 , 60 ," 1,003 "," 1,255 ", 761 , 947 , 762 
Mandera County, 61 , 24 , 13 , 39 , 30 ,, 5 , 18 , 32 , 12 , 44 , 18 
Marsabit County, 19 , 29 , 9 , 12 , 1 , 1 , 2 ,, 1 , 1 , 4 ,
Meru County, 542 , 378 , 196 , 299 , 240 , 49 , 422 , 197 , 387 , 248 , 619 , 654 
Migori County," 3,504 "," 2,346 "," 2,643 "," 2,371 "," 2,922 "," 2,653 "," 2,716 "," 2,592 "," 2,832 "," 2,670 "," 3,044 "," 3,251 "
Mombasa County, 757 , 933 , 769 , 844 ," 1,121 "," 1,018 ", 970 ," 1,121 "," 1,182 ", 614 , 989 ," 1,005 "
Muranga County, 579 , 462 , 702 , 367 , 439 , 330 , 403 , 495 , 517 , 286 , 294 , 350 
Nairobi County," 1,856 "," 2,579 "," 2,686 "," 2,762 "," 1,930 "," 2,284 "," 4,301 "," 4,113 "," 5,005 "," 4,136 "," 3,854 "," 4,000 "
Nakuru County," 2,649 "," 2,065 "," 1,910 "," 2,072 "," 1,507 "," 1,763 "," 1,196 "," 1,859 "," 3,651 "," 2,667 "," 3,471 "," 2,742 "
Nandi County, 426 , 287 , 318 , 460 , 665 , 261 , 197 , 529 , 544 , 148 , 135 , 159 
Narok County, 900 ," 1,204 "," 1,019 ", 795 , 907 , 523 , 735 , 340 , 473 , 120 , 139 , 475 
Nyamira County, 332 , 130 , 559 , 821 , 152 , 422 , 289 , 273 , 509 , 470 , 396 , 293 
Nyandarua County, 149 , 121 , 114 , 78 , 54 , 35 , 34 , 93 , 156 , 116 , 73 , 298 
Nyeri County, 203 , 178 , 168 , 154 , 126 , 101 , 43 , 72 , 62 , 79 , 42 , 33 
Samburu County, 59 , 73 , 67 , 64 , 40 , 21 , 44 , 45 , 73 , 73 , 33 , 34 
Siaya County," 1,445 ", 829 , 713 , 983 , 959 , 491 , 293 , 299 , 484 , 297 , 406 , 524 
Taita Taveta County, 201 , 90 , 85 , 263 , 25 , 60 , 52 , 111 , 150 , 71 , 134 , 72 
Tana River County, 76 , 74 , 11 , 29 , 5 , 126 ,, 10 , 13 , 9 , 1 ,
Tharaka Nithi County, 150 , 416 , 424 , 283 , 265 , 196 , 342 , 274 , 318 , 191 , 360 , 352 
Trans Nzoia County, 964 ," 1,053 "," 1,044 ", 847 ," 1,320 ", 847 ," 1,062 "," 1,412 "," 1,835 ", 481 , 429 , 319 
Turkana County, 48 , 7 , 34 , 11 , 39 , 22 , 58 , 25 , 38 , 89 , 88 , 121 
Uasin Gishu County, 734 , 449 , 562 , 514 , 314 , 499 ," 1,313 ", 602 ," 1,282 ", 676 , 740 , 932 
Vihiga County, 300 , 397 , 493 , 295 , 388 , 515 , 336 , 504 , 723 , 70 , 209 , 718 
Wajir County, 25 , 26 , 26 , 41 , 39 , 26 , 28 , 12 , 51 , 15 , 22 , 48 
West Pokot County, 67 , 155 , 195 , 113 , 70 , 100 , 85 , 79 , 97 , 60 , 91 , 66 
